----- t   F_best   F_+  F_-
1 120.065906534842 123.505553177991 116.7220545238
2 101.232187403333 103.389710778307 99.1196869525786
3 85.3527538518151 86.5502159195778 84.1718592228335
4 71.9641921898125 72.4534368007658 71.4782512218597
6 51.1580860828242 50.7739161346411 51.5451627705366
9 30.6627455301724 29.7860673397167 31.5652265445072
10 25.8529410337674 24.9346916655508 26.8050060157297
13 15.495539665842 14.6277155986093 16.4148494627904
15 11.0155082410163 10.2508098696199 11.8372522123852
